timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681883154907,599,HomePage,200,OK,Users 1-1,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,573,0,535
1681883155512,138,Get Started,200,OK,Users 1-1,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,56,0,28
1681883155512,56,Get Started-0,301,Moved Permanently,Users 1-1,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,56,0,28
1681883155570,80,Get Started-1,200,OK,Users 1-1,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,40,0,0
1681883155651,33,HomePage,200,OK,Users 1-1,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,32,0,0
1681883155684,102,Get Started,200,OK,Users 1-1,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,61,0,34
1681883155684,61,Get Started-0,301,Moved Permanently,Users 1-1,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,61,0,34
1681883155745,41,Get Started-1,200,OK,Users 1-1,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,30,0,0
1681883156780,102,HomePage,200,OK,Users 1-2,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,97,0,69
1681883156883,128,Get Started,200,OK,Users 1-2,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,55,0,27
1681883156883,55,Get Started-0,301,Moved Permanently,Users 1-2,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,55,0,27
1681883156939,72,Get Started-1,200,OK,Users 1-2,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,37,0,0
1681883157012,52,HomePage,200,OK,Users 1-2,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,49,0,0
1681883157064,99,Get Started,200,OK,Users 1-2,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,56,0,26
1681883157064,56,Get Started-0,301,Moved Permanently,Users 1-2,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,56,0,26
1681883157120,43,Get Started-1,200,OK,Users 1-2,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,31,0,0
1681883158781,106,HomePage,200,OK,Users 1-3,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,99,0,68
1681883158888,139,Get Started,200,OK,Users 1-3,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,61,0,31
1681883158888,61,Get Started-0,301,Moved Permanently,Users 1-3,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,61,0,31
1681883158949,78,Get Started-1,200,OK,Users 1-3,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,40,0,0
1681883159028,31,HomePage,200,OK,Users 1-3,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,30,0,0
1681883159060,102,Get Started,200,OK,Users 1-3,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,56,0,28
1681883159060,56,Get Started-0,301,Moved Permanently,Users 1-3,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,56,0,28
1681883159116,46,Get Started-1,200,OK,Users 1-3,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,31,0,0
1681883160781,129,HomePage,200,OK,Users 1-4,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,123,0,93
1681883160913,128,Get Started,200,OK,Users 1-4,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,63,0,27
1681883160913,63,Get Started-0,301,Moved Permanently,Users 1-4,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,63,0,27
1681883160976,65,Get Started-1,200,OK,Users 1-4,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,27,0,0
1681883161042,29,HomePage,200,OK,Users 1-4,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,29,0,0
1681883161071,110,Get Started,200,OK,Users 1-4,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,64,0,36
1681883161071,64,Get Started-0,301,Moved Permanently,Users 1-4,,true,,347,146,1,1,http://jmeter.apache.org/usermanual/get-started.html,64,0,36
1681883161135,46,Get Started-1,200,OK,Users 1-4,text,true,,100762,146,1,1,https://jmeter.apache.org/usermanual/get-started.html,32,0,0
1681883162777,114,HomePage,200,OK,Users 1-5,text,true,,21424,129,1,1,https://jmeter.apache.org/index.html,109,0,78
1681883162893,172,Get Started,200,OK,Users 1-5,text,true,,101109,292,1,1,https://jmeter.apache.org/usermanual/get-started.html,54,0,27
